GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hotel-booking,ua.khpi.oop.lab03,Room,44,58,7,5,7,21,7,9,3,7
hotel-booking,ua.khpi.oop.lab03,Main,75,0,0,0,18,0,2,0,2,0
hotel-booking,ua.khpi.oop.lab03,Guest,6,11,0,0,1,5,1,2,1,2
hotel-booking,ua.khpi.oop.lab03,SuiteRoom,14,0,0,0,5,0,2,0,2,0
hotel-booking,ua.khpi.oop.lab03,StandardRoom,14,0,0,0,5,0,2,0,2,0
hotel-booking,ua.khpi.oop.lab01,Guest,17,0,0,0,6,0,3,0,3,0
hotel-booking,ua.khpi.oop.lab01,Main,75,0,0,0,18,0,2,0,2,0
hotel-booking,ua.khpi.oop.lab01,StandardRoom,14,0,0,0,5,0,2,0,2,0
hotel-booking,ua.khpi.oop.lab01,Room,64,0,10,0,17,0,12,0,7,0
hotel-booking,ua.khpi.oop.lab01,SuiteRoom,14,0,0,0,5,0,2,0,2,0
hotel-booking,ua.khpi.oop.lab04,Main,75,0,0,0,18,0,2,0,2,0
hotel-booking,ua.khpi.oop.lab04,Room,96,0,14,0,25,0,16,0,9,0
hotel-booking,ua.khpi.oop.lab04,SuiteRoom,14,0,0,0,5,0,2,0,2,0
hotel-booking,ua.khpi.oop.lab04,Guest,43,0,8,0,10,0,9,0,5,0
hotel-booking,ua.khpi.oop.lab04,StandardRoom,14,0,0,0,5,0,2,0,2,0
